schema_version	status	latest	organism	assembly	upstream	downstream	jaspar_release	tax_group	background_version	artifact	artifact_sha256	motif_count	promoter_count	annotation_hash	promoter_hash	motif_hash	annotation_snapshot	annotation_source	annotation_retrieved_at	scoring_spec	pscanr_version	pscanr_commit	bioc_version	generated_at
1	validated	TRUE	mm	mm39	450	50	2020	vertebrates	1	BG_files/J2020_mm39_450u_50d_UCSC.psbg1.txt	976446621b186e425764e4168fc15e06aa46ee3de9ce7df77ad6c2b08d7eaca5	746	33308					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm39	500	0	2020	vertebrates	1	BG_files/J2020_mm39_500u_0d_UCSC.psbg1.txt	e416fdb114270e173383543766842c50d0ea9b6de3abf2f920873bbfc33b29b0	746	33312					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm39	950	50	2020	vertebrates	1	BG_files/J2020_mm39_950u_50d_UCSC.psbg1.txt	03ce660635f94fc896e4394841b5e2e5c270d9d2d7fc7135a37e5fec8e957f25	746	33374					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm39	1000	0	2020	vertebrates	1	BG_files/J2020_mm39_1000u_0d_UCSC.psbg1.txt	9091559a6d20060ede5d4d64611fe81042c1a532de363ba5a309335945b126be	746	33378					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	sc	sacCer3	200	50	2020	fungi	1	BG_files/J2020_sacCer3_200u_50d_UCSC.psbg1.txt	6c024295f462075b4a0c96a0d45751fe4bd2585f0700e2b33fb11e8d843fc0f4	183	6544					sgdGene		pscan-best-hit-v1				
1	validated	TRUE	sc	sacCer3	450	50	2020	fungi	1	BG_files/J2020_sacCer3_450u_50d_UCSC.psbg1.txt	efa036d41d1423c4d17a32706460bf8ae0908fed3cda12a80854c656da70556f	183	6570					sgdGene		pscan-best-hit-v1				
1	validated	TRUE	sc	sacCer3	500	0	2020	fungi	1	BG_files/J2020_sacCer3_500u_0d_UCSC.psbg1.txt	92d133529241defca591ff95b3b41e7b1fea5ab23efbbcab1adc52e2fcf105ba	183	6571					sgdGene		pscan-best-hit-v1				
1	validated	TRUE	sc	sacCer3	950	50	2020	fungi	1	BG_files/J2020_sacCer3_950u_50d_UCSC.psbg1.txt	19380d2f6031de3d2b8cef0ae05cab015c0a86a523162833956fe66b2b7f6ddc	183	6571					sgdGene		pscan-best-hit-v1				
1	validated	TRUE	sc	sacCer3	1000	0	2020	fungi	1	BG_files/J2020_sacCer3_1000u_0d_UCSC.psbg1.txt	52b644aea85638bd68c9cfd3595ab482fe6744ecfb598f1adaaf3fa4cb53cfb9	183	6571					sgdGene		pscan-best-hit-v1				
1	validated	TRUE	at	TAIR9	200	50	2020	plants	1	BG_files/J2020_TAIR9_200u_50d_TAIR.psbg1.txt	c4e018f838843284bb4c7a25f287f85a0f6640fc5a86676eea10642caf9ffaf6	530	36331					raw_data/TAIR9_GFF3_genes.gff		pscan-best-hit-v1				
1	validated	TRUE	at	TAIR9	450	50	2020	plants	1	BG_files/J2020_TAIR9_450u_50d_TAIR.psbg1.txt	55ad48205ecfed521ad81cfe4b750b5693f445e85047fef3ecc474c4f5d02509	530	36368					raw_data/TAIR9_GFF3_genes.gff		pscan-best-hit-v1				
1	validated	TRUE	at	TAIR9	500	0	2020	plants	1	BG_files/J2020_TAIR9_500u_0d_TAIR.psbg1.txt	ca13d52fe93a679f64a28dde2e7802098b2ac3fc5f72794af55eab2f3703a64a	530	36371					raw_data/TAIR9_GFF3_genes.gff		pscan-best-hit-v1				
1	validated	TRUE	at	TAIR9	950	50	2020	plants	1	BG_files/J2020_TAIR9_950u_50d_TAIR.psbg1.txt	507b7ef78cd593300d4de31f6188668770d17a3bc5eb02339ffddd878474f919	530	36406					raw_data/TAIR9_GFF3_genes.gff		pscan-best-hit-v1				
1	validated	TRUE	at	TAIR9	1000	0	2020	plants	1	BG_files/J2020_TAIR9_1000u_0d_TAIR.psbg1.txt	0728d4c6f009a7d69068a748e05a7a010615eb2e8caaf2d793e6efb21a9336a8	530	36405					raw_data/TAIR9_GFF3_genes.gff		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	200	50	2022	insects	1	BG_files/J2022_dm6_200u_50d_UCSC.psbg1.txt	04e523407feeae3836ab1195464025ccbe274c1a51abd86d9e8b3d9ca8869900	150	22400					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	450	50	2022	insects	1	BG_files/J2022_dm6_450u_50d_UCSC.psbg1.txt	294b4d1e2e5fd47bd4c54d651c6cce0dbb12b5ee45ae01dce39a38a64a337c2a	150	22454					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	500	0	2022	insects	1	BG_files/J2022_dm6_500u_0d_UCSC.psbg1.txt	0751fbdb34218880f8eb6312c07ec057abcbf2252edb0d3873ed435c8e32c484	150	22460					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	950	50	2022	insects	1	BG_files/J2022_dm6_950u_50d_UCSC.psbg1.txt	ea886b899cb5b5fab0f37187a1b47bbdb8002afe07814b8ee9de61c17394e02f	150	22511					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	1000	0	2022	insects	1	BG_files/J2022_dm6_1000u_0d_UCSC.psbg1.txt	9a2c7a1bd42eec2d5f13cb56a74b992fbc64e898598d502718a90cd01ea08820	150	22513					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	200	50	2022	vertebrates	1	BG_files/J2022_hg38_200u_50d_UCSC.psbg1.txt	349201e1c3e1471592f97f50d13426f31a9046d58df506745a2e75f3a54f0c2d	841	39438					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	450	50	2022	vertebrates	1	BG_files/J2022_hg38_450u_50d_UCSC.psbg1.txt	8c696b1b6584140702df469f1f2dad0070588262b37516b3f91cff18ae120f06	841	39518					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	500	0	2022	vertebrates	1	BG_files/J2022_hg38_500u_0d_UCSC.psbg1.txt	4859e112fea773b94c3cc11be47066493ba2868c1829f6f2e4f367545abd7ca0	841	39524					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	950	50	2022	vertebrates	1	BG_files/J2022_hg38_950u_50d_UCSC.psbg1.txt	e5031e7555d0cf96b9f59a70ce3249e2a1b302c8d623a0393e6213f19c5989fa	841	39583					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	1000	0	2022	vertebrates	1	BG_files/J2022_hg38_1000u_0d_UCSC.psbg1.txt	e81d241fdefaf9c48538bbbe4b2e8dd8a35200bb3cd99cf815994681dd31d4ce	841	39581					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	200	50	2022	vertebrates	1	BG_files/J2022_hs1_200u_50d_UCSC.psbg1.txt	efddfbb96e48a47c436b15d2e0ff2c983d4b1d6c8b80894254954d18cf553be0	841	39405					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	450	50	2022	vertebrates	1	BG_files/J2022_hs1_450u_50d_UCSC.psbg1.txt	dcffa45ca1b2909b3b9483b8ae73419b485368dca26f976262071d5b4a07cfab	841	39500					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	500	0	2022	vertebrates	1	BG_files/J2022_hs1_500u_0d_UCSC.psbg1.txt	bdf379875c5f146940e944146e0e9700d2bed5476aad04f2231bf4877f1010cb	841	39503					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	950	50	2022	vertebrates	1	BG_files/J2022_hs1_950u_50d_UCSC.psbg1.txt	c9437c88e27ca38c279ad28d279fd61d0886b442110cdf8e753e2c0429fd9490	841	39591					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	1000	0	2022	vertebrates	1	BG_files/J2022_hs1_1000u_0d_UCSC.psbg1.txt	52c7d606c0bb9881add73a9a4129a6123b1f40476b1869ac3e5247e14a078e1b	841	39591					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	mm	mm10	200	50	2022	vertebrates	1	BG_files/J2022_mm10_200u_50d_UCSC.psbg1.txt	29b16bcb52c50713ef23b1e5c623cc6ce663aa56a563ea96cc832e3f7998c1c6	841	31383					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm10	450	50	2022	vertebrates	1	BG_files/J2022_mm10_450u_50d_UCSC.psbg1.txt	0d16ee3c9e25c85c503e02a89fce29f2236f1b9d6a4632b3360e78cabb4a0033	841	31440					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm10	500	0	2022	vertebrates	1	BG_files/J2022_mm10_500u_0d_UCSC.psbg1.txt	f5b84df79aa7fbae107e028d43134085e581d0e3791a0cf67c4fd86d112ac5ca	841	31443					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm10	950	50	2022	vertebrates	1	BG_files/J2022_mm10_950u_50d_UCSC.psbg1.txt	6b0503ce3e830f658c54a43a1104f6ee548896bf7930e7f0a0352208c261c90b	841	31504					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm10	1000	0	2022	vertebrates	1	BG_files/J2022_mm10_1000u_0d_UCSC.psbg1.txt	51b740845c1fb960ad8d48a7064cc11f4b9ebe264f5686689fb357165586edf4	841	31508					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm39	200	50	2022	vertebrates	1	BG_files/J2022_mm39_200u_50d_UCSC.psbg1.txt	1e62dd2ebbd0eeb8357893f5fd62c9b3ac466940089e4195757b4d025ef6e8c0	841	33248					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm39	450	50	2022	vertebrates	1	BG_files/J2022_mm39_450u_50d_UCSC.psbg1.txt	e227c71d3446779bac6e16f35ecbdb13a7d20da8fb26d6833deacfceea94ef39	841	33308					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm39	500	0	2022	vertebrates	1	BG_files/J2022_mm39_500u_0d_UCSC.psbg1.txt	ad541c04cdfcc70aecfb2afd08ddf80f04b270df0087316af03dae83b8ceb1e0	841	33312					ncbiRefSeqCurated		pscan-best-hit-v1				
