artifact	motif_count	promoter_count	problems	sha256
J2020_mm39_200u_50d_UCSC.psbg1.txt	746	33248		579cbcd602b6b98c55cbd64e021b0af71ca3f1b43d6802ad64543a7dffea60bb
J2020_mm39_200u_50d_UCSC.psbg2.txt	746	33248		af3929fd0261858d98a05cfec00802d6c87b443d347bc9d9761d29a58b0416a3
J2020_mm39_450u_50d_UCSC.psbg1.txt	746	33308		976446621b186e425764e4168fc15e06aa46ee3de9ce7df77ad6c2b08d7eaca5
J2020_mm39_450u_50d_UCSC.psbg2.txt	746	33308		ea8a1244a41893eb7be13e864e4888e09dc56c1619ff045d3757808973fcc44f
J2020_mm39_500u_0d_UCSC.psbg1.txt	746	33312		e416fdb114270e173383543766842c50d0ea9b6de3abf2f920873bbfc33b29b0
J2020_mm39_500u_0d_UCSC.psbg2.txt	746	33312		7690974dcf0b55ada0da75888154180fac5e03dad7e8cf40e7e9e0b5e50602f3
J2020_mm39_950u_50d_UCSC.psbg1.txt	746	33374		03ce660635f94fc896e4394841b5e2e5c270d9d2d7fc7135a37e5fec8e957f25
J2020_mm39_950u_50d_UCSC.psbg2.txt	746	33374		1175ae9441d7e06c63c4351b9d73cf31a0a1a728f188437572d7da4522f9ecf1
J2020_sacCer3_1000u_0d_UCSC.psbg1.txt	183	6571		52b644aea85638bd68c9cfd3595ab482fe6744ecfb598f1adaaf3fa4cb53cfb9
J2020_sacCer3_1000u_0d_UCSC.psbg2.txt	183	6571		3119cae418ccfd42755436a8b7510369934d792ce4ccedcf1cb2711c1827a36d
J2020_sacCer3_200u_50d_UCSC.psbg1.txt	183	6544		6c024295f462075b4a0c96a0d45751fe4bd2585f0700e2b33fb11e8d843fc0f4
J2020_sacCer3_200u_50d_UCSC.psbg2.txt	183	6544		0b1edb71e6b573b42a1695ffec6979e2f18b63bb5597596162b4f1b2222017e3
J2020_sacCer3_450u_50d_UCSC.psbg1.txt	183	6570		efa036d41d1423c4d17a32706460bf8ae0908fed3cda12a80854c656da70556f
J2020_sacCer3_450u_50d_UCSC.psbg2.txt	183	6570		72000cb8e164251a1e00e2bbd6dfddb6adb5397cf166db55f6c5a2459450445b
J2020_sacCer3_500u_0d_UCSC.psbg1.txt	183	6571		92d133529241defca591ff95b3b41e7b1fea5ab23efbbcab1adc52e2fcf105ba
J2020_sacCer3_500u_0d_UCSC.psbg2.txt	183	6571		aa2026ff5db0707399f84c2e7ee3f1a3ccad3c7a9fb92004276c46e41fce1f43
J2020_sacCer3_950u_50d_UCSC.psbg1.txt	183	6571		19380d2f6031de3d2b8cef0ae05cab015c0a86a523162833956fe66b2b7f6ddc
J2020_sacCer3_950u_50d_UCSC.psbg2.txt	183	6571		959da1e8b04a5a4714d89f928f4239139d547754ec354014b35f7357eaf3644f
J2020_TAIR9_1000u_0d_TAIR.psbg1.txt	530	36405		0728d4c6f009a7d69068a748e05a7a010615eb2e8caaf2d793e6efb21a9336a8
J2020_TAIR9_1000u_0d_TAIR.psbg2.txt	530	36405		c1e5ce982c9747856160ad03529ec1b8a1230a12496083e29dfb497a87470f6f
J2020_TAIR9_200u_50d_TAIR.psbg1.txt	530	36331		c4e018f838843284bb4c7a25f287f85a0f6640fc5a86676eea10642caf9ffaf6
J2020_TAIR9_200u_50d_TAIR.psbg2.txt	530	36331		4b72e41054e30fa15ca4a047a571691835872c46f98f3244fb621c2329aaaaf9
J2020_TAIR9_450u_50d_TAIR.psbg1.txt	530	36368		55ad48205ecfed521ad81cfe4b750b5693f445e85047fef3ecc474c4f5d02509
J2020_TAIR9_450u_50d_TAIR.psbg2.txt	530	36368		063bac7565c2a3183ca0f25d5e56667cec29643a66af47e6bcf6d63b95015de3
J2020_TAIR9_500u_0d_TAIR.psbg1.txt	530	36371		ca13d52fe93a679f64a28dde2e7802098b2ac3fc5f72794af55eab2f3703a64a
J2020_TAIR9_500u_0d_TAIR.psbg2.txt	530	36371		ec5d910fbe72b6cbc16d610ce3995330fa4746069cc1fab84de63f6431c5ceab
J2020_TAIR9_950u_50d_TAIR.psbg1.txt	530	36406		507b7ef78cd593300d4de31f6188668770d17a3bc5eb02339ffddd878474f919
J2020_TAIR9_950u_50d_TAIR.psbg2.txt	530	36406		bab5e89332bd11d47fefc36a2a817a0df989bb8fde9bae60aa216eb1fa271669
J2022_dm6_1000u_0d_UCSC.psbg1.txt	150	22513		9a2c7a1bd42eec2d5f13cb56a74b992fbc64e898598d502718a90cd01ea08820
J2022_dm6_1000u_0d_UCSC.psbg2.txt	150	22513		2a6239646d5bfc1a2af4470e307ce07a03a65d1b96cd6fcffae02682514ac773
J2022_dm6_200u_50d_UCSC.psbg1.txt	150	22400		04e523407feeae3836ab1195464025ccbe274c1a51abd86d9e8b3d9ca8869900
J2022_dm6_200u_50d_UCSC.psbg2.txt	150	22400		deb7c0ae2e9fc597eeeae3a0e95578bf5eb2c96e63c394b10c46b841962f83ba
J2022_dm6_450u_50d_UCSC.psbg1.txt	150	22454		294b4d1e2e5fd47bd4c54d651c6cce0dbb12b5ee45ae01dce39a38a64a337c2a
J2022_dm6_450u_50d_UCSC.psbg2.txt	150	22454		498ebe805b6acaf1a2a64d3b406af2f565e8ecf06b3799ab82e912e8a8a294c3
J2022_dm6_500u_0d_UCSC.psbg1.txt	150	22460		0751fbdb34218880f8eb6312c07ec057abcbf2252edb0d3873ed435c8e32c484
J2022_dm6_500u_0d_UCSC.psbg2.txt	150	22460		0a5f5e040937712ab0941957035e36e9c9ebf3fb4d638d9aeb90f59a70ffaf47
J2022_dm6_950u_50d_UCSC.psbg1.txt	150	22511		ea886b899cb5b5fab0f37187a1b47bbdb8002afe07814b8ee9de61c17394e02f
J2022_dm6_950u_50d_UCSC.psbg2.txt	150	22511		5fe792b6b4998940d25e8c5ccb15eb36549b9868a9cc3500aae4898868002edf
J2022_hg38_1000u_0d_UCSC.psbg1.txt	841	39581		e81d241fdefaf9c48538bbbe4b2e8dd8a35200bb3cd99cf815994681dd31d4ce
